epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0479,1.81728,3.89386,5.14249,1.69896,0,0.05176,0.12254,0.02804,0.01179,0.00165,0.15525,0.00209,0.00039,2.33201,14.0659,6.31557,2.55829,0,0.00065625,0.00065625,0.0678438
2,44.7375,1.85055,3.4388,4.45238,1.72912,0,0.01754,0.04111,0.00846,0.00255,0.00125,0.03898,0.00014,3e-05,2.48363,12.4972,18.5203,2.47745,0,0.00130982,0.00130982,0.035164
3,59.3586,1.87794,3.46094,4.43611,1.75473,0,0.35472,0.13301,0.04974,0.0181,0.31939,0.11909,0.03514,0.01133,2.28044,5.41427,6.54261,2.31105,0,0.00195019,0.00195019,0.00247102
4,74.1379,1.84885,3.40903,4.28525,1.72605,0,0.05669,0.13648,0.03271,0.01394,0.0581,0.1185,0.02489,0.00826,2.04758,4.35341,8.352,2.05272,0,0.0019406,0.0019406,0.0019406
5,88.7361,1.83432,3.3894,4.19009,1.73128,0,0.07361,0.18546,0.07223,0.02924,0.33025,0.11462,0.05046,0.01527,2.11499,3.98443,5.69196,2.01803,0,0.0019208,0.0019208,0.0019208
6,103.268,1.81792,3.36358,4.08881,1.70479,0,0.1236,0.11459,0.05615,0.02375,0.1014,0.08368,0.03844,0.01551,2.24555,4.48224,5.46338,2.14164,0,0.001901,0.001901,0.001901
7,119.217,1.75757,3.25202,4.02647,1.66846,0,0.16721,0.188,0.09042,0.04208,0.15938,0.17181,0.08063,0.03125,1.9512,3.31771,4.98096,1.93745,0,0.0018812,0.0018812,0.0018812
8,134.707,1.7444,3.29158,3.99251,1.64932,0,0.38879,0.15627,0.07561,0.03285,0.38128,0.14332,0.06634,0.02453,1.95819,3.44615,6.79259,1.90542,0,0.0018614,0.0018614,0.0018614
9,149.507,1.69587,3.23059,3.89702,1.62364,0,0.13069,0.1879,0.09818,0.04925,0.12495,0.17812,0.09249,0.03861,1.90797,3.3893,6.31757,1.83869,0,0.0018416,0.0018416,0.0018416
10,163.983,1.68446,3.19985,3.8059,1.61463,0,0.1632,0.20716,0.10571,0.0504,0.14973,0.18156,0.09024,0.03735,1.92372,3.39721,4.54105,1.89275,0,0.0018218,0.0018218,0.0018218
11,178.632,1.67762,3.20973,3.77052,1.59995,0,0.13115,0.18347,0.08468,0.04193,0.12582,0.15386,0.07211,0.03049,1.91502,3.32185,5.33876,1.91923,0,0.001802,0.001802,0.001802
12,193.326,1.65991,3.18337,3.76988,1.60664,0,0.16208,0.23836,0.11267,0.0542,0.14713,0.21385,0.09849,0.03865,1.88503,3.39399,4.81368,1.87479,0,0.0017822,0.0017822,0.0017822
13,207.878,1.62894,3.09129,3.68886,1.55997,0,0.17417,0.19467,0.10904,0.04976,0.15979,0.15642,0.09273,0.03318,1.9016,3.27871,4.63915,1.89032,0,0.0017624,0.0017624,0.0017624
14,222.521,1.64222,3.14544,3.65936,1.57889,0,0.20183,0.16409,0.12152,0.06197,0.1978,0.16651,0.11315,0.04771,1.83271,3.2155,4.95496,1.8094,0,0.0017426,0.0017426,0.0017426
15,237.374,1.62036,3.11113,3.58176,1.56375,0,0.1631,0.24171,0.11965,0.05981,0.15115,0.21774,0.10696,0.0441,1.84644,3.25406,4.96043,1.81684,0,0.0017228,0.0017228,0.0017228
16,251.965,1.62939,3.08786,3.57205,1.57288,0,0.14175,0.20132,0.09302,0.04083,0.11755,0.16478,0.07234,0.02466,1.84246,3.35046,4.86483,1.82329,0,0.001703,0.001703,0.001703
