epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8676,1.79269,3.87888,5.04227,1.68755,0,0.07383,0.06141,0.02156,0.00741,0.00772,0.00733,0.00025,4e-05,2.31315,18.615,5.75556,2.32403,0,0.00065625,0.00065625,0.0678438
2,29.8238,1.78669,3.35603,4.37703,1.69733,0,0.03947,0.12217,0.02101,0.00794,0.03144,0.08285,0.01235,0.00369,2.38839,7.8096,8.87686,2.62009,0,0.00130982,0.00130982,0.035164
3,43.7312,1.81939,3.38175,4.30336,1.72629,0,0.35062,0.10035,0.04639,0.01674,0.33448,0.09899,0.04004,0.01315,2.2402,4.28882,6.3763,2.30522,0,0.00195019,0.00195019,0.00247102
4,57.5397,1.80325,3.35578,4.19352,1.712,0,0.06185,0.1611,0.0346,0.0136,0.05588,0.11817,0.01987,0.00655,2.10399,4.01411,6.66701,2.08562,0,0.0019406,0.0019406,0.0019406
5,71.5753,1.78249,3.30391,4.0955,1.69795,0,0.2613,0.16208,0.07142,0.02948,0.18906,0.16376,0.0656,0.02467,2.08276,3.4105,6.94401,2.04888,0,0.0019208,0.0019208,0.0019208
6,85.5569,1.77164,3.31363,4.01238,1.68126,0,0.1048,0.16716,0.06914,0.03134,0.10049,0.14563,0.05815,0.02392,2.08288,3.54658,5.49365,1.99189,0,0.001901,0.001901,0.001901
7,99.4944,1.70747,3.17858,3.9444,1.65215,0,0.12205,0.14761,0.07325,0.03121,0.12303,0.13839,0.06394,0.02704,2.15239,3.81357,5.67193,2.2222,0,0.0018812,0.0018812,0.0018812
8,115.52,1.70941,3.21063,3.93911,1.64346,0,0.40691,0.18396,0.10232,0.04921,0.39123,0.1595,0.08399,0.03725,1.94429,3.83861,5.66257,1.84199,0,0.0018614,0.0018614,0.0018614
9,131.642,1.67141,3.16098,3.8342,1.61457,0,0.10585,0.15262,0.05929,0.0244,0.10622,0.12367,0.055,0.01876,1.99008,3.60726,7.49336,1.95282,0,0.0018416,0.0018416,0.0018416
10,147.02,1.66985,3.13544,3.74367,1.60493,0,0.19712,0.18009,0.10116,0.04746,0.17873,0.15436,0.08698,0.03438,1.9386,3.36931,4.4262,1.90903,0,0.0018218,0.0018218,0.0018218
11,162.751,1.65627,3.14002,3.67683,1.59384,0,0.22307,0.19572,0.13004,0.06385,0.20163,0.18117,0.11462,0.04764,1.83181,3.27705,4.7571,1.88244,0,0.001802,0.001802,0.001802
12,178.434,1.63438,3.11652,3.71369,1.5972,0,0.17067,0.24734,0.11858,0.05805,0.15079,0.21179,0.09731,0.0405,1.93994,3.4814,4.67289,1.9009,0,0.0017822,0.0017822,0.0017822
13,194.085,1.60202,3.02225,3.58328,1.55138,0,0.1848,0.20503,0.11184,0.05142,0.18143,0.1714,0.09305,0.03417,1.88355,3.40889,4.77387,1.86214,0,0.0017624,0.0017624,0.0017624
14,210.121,1.61628,3.06085,3.57331,1.56509,0,0.17057,0.19235,0.09919,0.04547,0.13162,0.20743,0.08656,0.03368,1.85453,3.26655,4.89687,1.86563,0,0.0017426,0.0017426,0.0017426
15,226.02,1.60219,3.03109,3.50405,1.55078,0,0.24623,0.21652,0.15376,0.07848,0.24217,0.19964,0.13831,0.05911,1.76035,3.24149,4.63239,1.7606,0,0.0017228,0.0017228,0.0017228
16,241.944,1.58124,3.02116,3.47471,1.54423,0,0.15408,0.22852,0.1104,0.05698,0.15105,0.20534,0.10283,0.0425,1.82334,3.16049,5.40366,1.80993,0,0.001703,0.001703,0.001703
17,257.84,1.56469,3.00242,3.45985,1.53787,0,0.17726,0.20524,0.09887,0.0461,0.17435,0.18168,0.08614,0.03218,1.8481,3.29815,4.97637,1.84013,0,0.0016832,0.0016832,0.0016832
18,273.769,1.55354,2.93231,3.37144,1.51515,0,0.17876,0.20541,0.11196,0.05416,0.16301,0.19374,0.09992,0.04131,1.85112,3.20727,4.60838,1.85607,0,0.0016634,0.0016634,0.0016634
19,289.624,1.53663,2.95282,3.34916,1.5116,0,0.17639,0.23383,0.11601,0.055,0.15311,0.20717,0.10642,0.04458,1.82738,3.32416,4.81802,1.7863,0,0.0016436,0.0016436,0.0016436
20,305.261,1.55267,2.93179,3.37981,1.5183,0,0.20202,0.24673,0.14818,0.07457,0.20162,0.23483,0.13889,0.06021,1.77535,3.14855,4.39569,1.76228,0,0.0016238,0.0016238,0.0016238
21,321.386,1.53489,2.9163,3.33532,1.49248,0,0.23068,0.23506,0.13811,0.06796,0.21022,0.22106,0.12501,0.05231,1.8249,3.25685,4.7963,1.82384,0,0.001604,0.001604,0.001604
22,337.022,1.51609,2.83699,3.32355,1.49071,0,0.23109,0.24557,0.15292,0.07979,0.2211,0.22824,0.13722,0.05985,1.77548,3.29818,3.96629,1.73766,0,0.0015842,0.0015842,0.0015842
23,352.731,1.47877,2.80745,3.14508,1.4611,0,0.22293,0.25267,0.14754,0.07471,0.23081,0.2163,0.13263,0.05564,1.76741,3.12954,4.21391,1.81525,0,0.0015644,0.0015644,0.0015644
24,368.627,1.48876,2.85875,3.17232,1.46916,0,0.24351,0.21841,0.14526,0.07021,0.2201,0.19455,0.13088,0.05581,1.7495,3.10315,4.62322,1.73923,0,0.0015446,0.0015446,0.0015446
25,384.512,1.48384,2.80958,3.15257,1.47717,0,0.22914,0.2236,0.14728,0.07284,0.21881,0.21625,0.128,0.05653,1.79448,3.15303,4.50484,1.77536,0,0.0015248,0.0015248,0.0015248
26,400.273,1.48286,2.84213,3.14887,1.46127,0,0.20457,0.24918,0.14975,0.07785,0.19968,0.24035,0.13455,0.05912,1.7557,3.06995,4.33129,1.72615,0,0.001505,0.001505,0.001505
27,416.196,1.48038,2.80956,3.12234,1.46355,0,0.21002,0.21405,0.12706,0.06413,0.21441,0.19533,0.10714,0.04076,1.73268,3.54747,4.23213,1.71825,0,0.0014852,0.0014852,0.0014852
28,431.941,1.49559,2.7965,3.14507,1.46883,0,0.26756,0.26902,0.16264,0.08377,0.26426,0.23698,0.15009,0.06208,1.68825,3.11138,4.14605,1.70407,0,0.0014654,0.0014654,0.0014654
29,446.109,1.46383,2.79752,3.07262,1.45433,0,0.24163,0.25609,0.16224,0.08025,0.22768,0.22714,0.13617,0.05802,1.75949,3.10839,4.26567,1.74391,0,0.0014456,0.0014456,0.0014456
30,460.195,1.46248,2.80429,3.08487,1.45234,0,0.2444,0.2553,0.15251,0.07789,0.23203,0.24005,0.13889,0.06097,1.76356,3.17614,4.32908,1.75193,0,0.0014258,0.0014258,0.0014258
31,474.367,1.48016,2.80168,3.0542,1.45088,0,0.28411,0.22951,0.16953,0.08794,0.28765,0.23439,0.15868,0.07153,1.72455,3.03299,4.41173,1.71569,0,0.001406,0.001406,0.001406
32,488.495,1.45425,2.77142,2.97493,1.43171,0,0.23821,0.24584,0.16326,0.08523,0.22603,0.23274,0.14473,0.06436,1.71336,3.14291,3.98137,1.73816,0,0.0013862,0.0013862,0.0013862
33,502.473,1.46514,2.79818,3.01231,1.44994,0,0.24454,0.24038,0.15127,0.07831,0.2328,0.22752,0.13383,0.05639,1.72195,3.39489,4.14123,1.73437,0,0.0013664,0.0013664,0.0013664
34,516.657,1.41545,2.71132,2.9252,1.40674,0,0.23571,0.26931,0.167,0.08552,0.22075,0.24963,0.14805,0.06556,1.72547,3.20503,4.04146,1.72595,0,0.0013466,0.0013466,0.0013466
