epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7283,1.79067,3.71433,5.0204,1.77225,0,0.05399,0.10218,0.03181,0.01148,0.54972,0.03118,0.01324,0.00334,2.30623,13.5408,6.04675,2.38166,0,0.000661417,0.000661417,0.0675906
2,44.7544,1.8157,3.39265,4.5881,1.80127,0,0.12087,0.1424,0.05514,0.01985,0.11522,0.11687,0.04302,0.01425,2.1593,4.42225,5.74243,2.24918,0,0.00131494,0.00131494,0.0349107
3,65.6473,1.84523,3.38532,4.53971,1.8524,0,0.05683,0.12567,0.03838,0.01549,0.05877,0.11904,0.03561,0.01221,2.21943,3.54162,6.75945,2.30769,0,0.00195525,0.00195525,0.00221772
4,85.9041,1.82408,3.38609,4.47499,1.84354,0,0.10555,0.08958,0.049,0.02222,0.08964,0.10248,0.0463,0.01973,2.20828,3.8377,7.51048,2.38817,0,0.0019406,0.0019406,0.0019406
5,106.182,1.79343,3.33238,4.31722,1.81354,0,0.34094,0.14565,0.06043,0.0253,0.34291,0.12742,0.05508,0.02108,2.07866,3.5544,6.17947,2.20272,0,0.0019208,0.0019208,0.0019208
6,128.455,1.78963,3.31763,4.28429,1.79166,0,0.10654,0.14609,0.0765,0.03287,0.36361,0.11811,0.06694,0.02682,2.08866,3.81373,5.75354,2.15286,0,0.001901,0.001901,0.001901
7,148.956,1.72709,3.24431,4.1805,1.75118,0,0.2304,0.18296,0.10536,0.04598,0.22587,0.17921,0.10119,0.04045,2.06178,3.28525,5.09332,2.13756,0,0.0018812,0.0018812,0.0018812
8,169.271,1.72997,3.22576,4.08932,1.73762,0,0.12936,0.20463,0.08918,0.04035,0.12402,0.1932,0.08033,0.03159,1.91386,3.41717,6.11065,2.02676,0,0.0018614,0.0018614,0.0018614
9,190.523,1.69109,3.20345,4.04045,1.72008,0,0.1354,0.20024,0.09763,0.04564,0.12616,0.15633,0.08109,0.03263,1.92287,3.43988,5.07748,2.0355,0,0.0018416,0.0018416,0.0018416
10,210.716,1.67356,3.1982,3.99198,1.71177,0,0.15765,0.17264,0.09951,0.04579,0.15796,0.14902,0.08895,0.03586,1.99902,3.48842,4.97792,2.04686,0,0.0018218,0.0018218,0.0018218
