elapsed,timestamp,phase,cpu_avg_pct,ram_used_mb,ram_avail_mb,ram_total_mb,cpu_temp_c,battery_pct,battery_ma,app_pss_mb,gpu_pct,core0_pct,core1_pct,core2_pct,core3_pct,core4_pct,core5_pct,core6_pct,core7_pct
0.7,2026-09-13T02:21:57,baseline,100.0,6544,8685,15229,74.1,100,0,0,11.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2.6,2026-09-13T02:21:59,baseline,100.0,6548,8681,15229,74.1,100,0,0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4.6,2026-09-13T02:22:01,baseline,100.0,6545,8684,15229,74.1,100,0,0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6.6,2026-09-13T02:22:03,baseline,100.0,6544,8685,15229,74.1,100,0,0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8.7,2026-09-13T02:22:05,baseline,100.0,6542,8687,15229,74.1,100,0,0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10.7,2026-09-13T02:22:07,baseline,100.0,6563,8666,15229,74.1,100,0,0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12.8,2026-09-13T02:22:09,baseline,100.0,6564,8665,15229,74.1,100,0,0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14.7,2026-09-13T02:22:11,baseline,100.0,6568,8661,15229,74.1,100,0,0,1.9,100.0,100.0,100.0,100.0,100.0,99.5,100.0,100.0
16.8,2026-09-13T02:22:13,baseline,100.0,6685,8544,15229,99.6,100,0,0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
18.7,2026-09-13T02:22:15,baseline,100.0,6660,8569,15229,99.6,100,0,0,25.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20.8,2026-09-13T02:22:17,baseline,100.0,6650,8579,15229,99.6,100,0,0,28.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
37.9,2026-09-13T02:22:34,app_launch,100.0,6456,8773,15229,99.6,100,0,96,10.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,2026-09-13T02:22:36,app_launch,100.0,6451,8778,15229,99.6,100,0,99,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
41.9,2026-09-13T02:22:38,app_launch,100.0,6447,8782,15229,99.6,100,0,99,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
44.0,2026-09-13T02:22:40,app_launch,100.0,6448,8781,15229,99.6,100,0,99,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
46.0,2026-09-13T02:22:42,app_launch,100.0,6446,8783,15229,99.6,100,0,99,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
48.0,2026-09-13T02:22:45,app_launch,100.0,6456,8773,15229,99.6,100,0,99,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
50.2,2026-09-13T02:22:47,llm_load,100.0,6460,8769,15229,99.6,100,0,118,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
52.1,2026-09-13T02:22:49,llm_load,100.0,6492,8737,15229,99.6,100,0,110,2.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
56.5,2026-09-13T02:22:53,llm_load,100.0,6666,8563,15229,99.6,100,0,240,10.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
58.7,2026-09-13T02:22:55,llm_load,100.0,6649,8580,15229,99.6,100,0,236,7.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
61.5,2026-09-13T02:22:58,llm_load,100.0,6660,8569,15229,99.6,100,0,236,6.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
62.4,2026-09-13T02:22:59,llm_load,100.0,6878,8351,15229,99.6,100,0,197,37.0,100.0,100.0,100.0,100.0,100.0,99.6,100.0,100.0
64.2,2026-09-13T02:23:01,llm_load,100.0,6742,8487,15229,99.6,100,0,193,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
68.8,2026-09-13T02:23:05,llm_load,100.0,6705,8524,15229,99.6,100,0,276,6.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
74.2,2026-09-13T02:23:11,llm_load,100.0,6791,8438,15229,99.6,100,0,291,6.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
78.7,2026-09-13T02:23:15,llm_load,100.0,6805,8424,15229,99.6,100,0,307,6.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
80.9,2026-09-13T02:23:17,llm_load,100.0,6779,8450,15229,99.6,100,0,309,7.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
82.6,2026-09-13T02:23:19,llm_load,100.0,6790,8439,15229,99.6,100,0,340,12.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
85.1,2026-09-13T02:23:22,llm_load,100.0,6827,8402,15229,99.6,100,0,351,9.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
87.4,2026-09-13T02:23:24,llm_load,100.0,6826,8403,15229,99.6,100,0,363,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
89.6,2026-09-13T02:23:26,llm_load,100.0,6797,8432,15229,99.6,100,0,372,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
92.5,2026-09-13T02:23:29,llm_load,100.0,6928,8301,15229,99.6,100,0,385,3.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94.4,2026-09-13T02:23:31,llm_load,100.0,6871,8358,15229,99.6,100,0,424,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
97.8,2026-09-13T02:23:34,llm_load,100.0,6895,8334,15229,99.6,100,0,391,8.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.6,2026-09-13T02:23:37,llm_load,100.0,6929,8300,15229,99.6,100,0,420,6.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
102.5,2026-09-13T02:23:39,llm_load,100.0,6850,8379,15229,99.6,100,0,448,6.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
104.8,2026-09-13T02:23:41,llm_load,100.0,6971,8258,15229,99.6,100,0,435,9.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
